CTR;Steer
-0.0477;-0.0143805
-0.0642;0.00392655
-0.0723;-0.0116223
-0.0807;-0.00972195
-0.0888;-0.00906255
-0.1053;0.0102651
-0.1137;-0.00461805
-0.13;0.013692
-0.138;-0.00163905
-0.1538;0.0164078
-0.1619;0.0023038
-0.1776;0.0199476
-0.1852;0.0049802
-0.193;0.0066467
-0.2084;0.0242609
-0.2158;0.0094788
-0.2234;0.0111305
-0.2383;0.0280847
-0.2455;0.0138874
-0.2529;0.0155239
-0.2673;0.0318175
-0.2742;0.0179896
-0.2813;0.0195953
-0.2881;0.0201593
-0.3017;0.0359502
-0.3084;0.0233093
-0.3274;0.0509231
-0.3397;0.0395379
-0.3511;0.0396235
-0.362;0.0404394
-0.3673;0.0302181
-0.3722;0.0303392
-0.3773;0.0316929
-0.3871;0.0427564
-0.3917;0.0332423
-0.3963;0.0341304
-0.4007;0.0345908
-0.4091;0.0440553
-0.4171;0.0446639
-0.4209;0.0370443
-0.4244;0.0371815
-0.4311;0.044802
-0.4343;0.0384992
-0.4371;0.0383377
-0.4426;0.0447841
-0.4452;0.0395966
-0.4496;0.0440815
-0.4516;0.0398073
-0.455;0.0433448
-0.4565;0.039998
-0.4578;0.0400219
-0.4598;0.0419518
-0.4606;0.0399021
-0.4617;0.040898
-0.462;0.039574
-0.462;0.039205
-0.4617;0.0387908
-0.4606;0.0372561
-0.4599;0.038181
-0.4577;0.0350799
-0.455;0.0339024
-0.4533;0.035874
-0.4495;0.0313288
-0.4475;0.0348526
-0.4451;0.0339151
-0.4422;0.0327012
-0.4343;0.0217334
-0.4293;0.026998
-0.4174;0.0116217
-0.4106;0.021007
-0.4031;0.0186836
-0.395;0.0164661
-0.3558;-0.051436
-0.3443;0.0024111
-0.3329;0.00106755
-0.3095;-0.0262877
-0.2976;-0.0049239
-0.2742;-0.0312968
-0.2506;-0.0351115
-0.2272;-0.0381079
-0.2157;-0.015925
-0.1928;-0.0420636
-0.1812;-0.021113
-0.1585;-0.0466388
-0.1359;-0.0497608
-0.1248;-0.0283634
-0.1136;-0.0301866
-0.1026;-0.0313853
-0.0805;-0.0568601
-0.0586;-0.0597158
-0.0372;-0.0619072
-0.0267;-0.0416688
-0.0064;-0.0643106
0.0035;-0.0449974
0.0229;-0.0669188
0.0419;-0.0689898
0.0602;-0.0703649
0.0691;-0.0529344
0.0861;-0.0717275
0.0943;-0.0554046
0.1024;-0.0564709
0.1181;-0.0740849
0.1257;-0.0590878
0.1402;-0.0751328
0.1473;-0.0614715
0.1605;-0.0757318
0.1668;-0.0629601
0.1843;-0.0880773
0.1896;-0.0645671
0.1994;-0.0751368
0.204;-0.0655288
0.2124;-0.074495
0.2162;-0.0659731
0.2198;-0.066223
0.2265;-0.0735413
0.2294;-0.0664909
0.2347;-0.0722033
0.239;-0.0709678
0.2408;-0.0663582
0.2424;-0.0663194
0.2437;-0.0660362
0.2458;-0.0680741
0.2465;-0.0655024
0.2469;-0.0650859
0.2471;-0.0648394
0.2469;-0.0641329
0.2464;-0.063581
0.2449;-0.0614785
0.2424;-0.0592247
0.2409;-0.0611201
0.2372;-0.0562837
0.235;-0.0590712
0.2273;-0.0470299
0.2243;-0.056092
0.2212;-0.0555377
0.2179;-0.0547516
0.2107;-0.0459769
0.2068;-0.0520954
0.1986;-0.0423646
0.1942;-0.0494018
0.1897;-0.0486216
0.1802;-0.0372867
0.1752;-0.0456243
0.1701;-0.0447444
0.1594;-0.032019
0.148;-0.028983
0.1363;-0.0266962
0.1182;-0.0112403
0.1121;-0.0343813
0.106;-0.0335193
0.0998;-0.0324392
0.0875;-0.018438
0.0822;-0.0316841
0.0779;-0.033078
0.0734;-0.0320398
0.0733;-0.0408614
0.0683;-0.0303455
0.0645;-0.0322078
0.0647;-0.0402701
0.0678;-0.0465691
0.0694;-0.0438438
0.0709;-0.0439042
0.0733;-0.0461008
0.0743;-0.043488
0.0752;-0.0434606
0.0765;-0.0444938
0.0772;-0.0434375
0.0773;-0.0422911
0.0773;-0.0421297
0.0768;-0.0410931
0.0764;-0.0412713
0.0758;-0.0408193
0.0751;-0.0405518
0.0742;-0.0400539
0.0721;-0.0373749
0.0709;-0.0390304
0.068;-0.0352294
0.0646;-0.0337517
0.0628;-0.0367131
0.0608;-0.0360435
0.0566;-0.0310418
0.0542;-0.0343089
0.0493;-0.0285985
0.0468;-0.033047
0.0441;-0.032264
0.0155;0.0238183
0.0041;-0.0088738
-0.0029;-0.0166224
-0.0062;-0.0235243
-0.0096;-0.0228095
-0.0164;-0.0149812
-0.0199;-0.0210463
-0.0304;-0.0054561
-0.0339;-0.0189142
-0.0374;-0.0183704
-0.0479;-0.0027715
-0.0514;-0.0162208
-0.0548;-0.0158834
-0.0583;-0.0151293
-0.0651;-0.0074767
-0.0686;-0.0135174
-0.0719;-0.0133864
-0.0786;-0.00554215
-0.0819;-0.0118062
-0.0883;-0.00460205
-0.0946;-0.00380975
-0.0977;-0.0096959
-0.1035;-0.00337415
-0.1063;-0.008901
-0.1118;-0.0026201
-0.1144;-0.0079729
-0.1194;-0.0023632
-0.1218;-0.0071423
-0.1263;-0.00220415
-0.1284;-0.00662495
-0.1301;-0.0071049
-0.1292;-0.0123753
-0.127;-0.0152418
-0.1135;-0.03981
-0.1067;-0.0273767
-0.099;-0.0302822
-0.0903;-0.0335421
-0.0729;-0.0535156
-0.0558;-0.0554527
-0.0394;-0.056493
-0.0315;-0.0406623
-0.0238;-0.0414054
-0.0089;-0.0580359
-0.0017;-0.0437151
0.0053;-0.0443677
0.0189;-0.0596172
0.0254;-0.0464049
0.0316;-0.0467507
0.0436;-0.0601724
0.0493;-0.0484521
0.0693;-0.0800868
0.0736;-0.0493686
0.0776;-0.0494074
0.0848;-0.0569298
0.0912;-0.0563354
0.094;-0.0496023
0.0987;-0.0541567
0.1007;-0.0491071
0.1051;-0.0546196
0.1061;-0.0480227
0.1068;-0.0475811
0.1075;-0.0477398
0.1075;-0.0463936
0.1073;-0.0460172
0.1068;-0.0453956
0.1053;-0.0432233
0.1041;-0.0436953
0.1028;-0.0433517
0.0995;-0.0389065
0.0954;-0.0367391
0.0905;-0.0344494
0.0878;-0.0384883
0.082;-0.0314593
0.0788;-0.0362187
0.0754;-0.0353464
0.0683;-0.0269156
0.0645;-0.0329778
0.0566;-0.0236211
0.0482;-0.0213852
0.0438;-0.0287471
0.0394;-0.0281068
0.0255;-0.00703455
0.0206;-0.0243099
0.011;-0.0134754
0.0061;-0.0221434
-0.0036;-0.0110866
-0.0086;-0.0197323
-0.0135;-0.0191906
-0.0235;-0.0074788
-0.0285;-0.0167146
-0.0384;-0.00541035
-0.0434;-0.0144387
-0.0477;-0.0151698
-0.0538;-0.0106279
-0.0572;-0.0154893
-0.0533;-0.0306477
-0.0486;-0.0329284
-0.0441;-0.0331813
-0.0336;-0.0467395
-0.0279;-0.0379806
-0.0225;-0.0381793
-0.0119;-0.0501634
-0.0018;-0.0506775
0.0029;-0.0405839
0.0118;-0.0503248
0.0159;-0.0413478
0.0269;-0.0568112
0.0302;-0.0419213
0.0359;-0.0475943
0.0407;-0.0465346
0.0428;-0.041471
0.0447;-0.0413784
0.0478;-0.0442673
0.049;-0.0406718
0.0509;-0.0423822
0.052;-0.0409732
0.0522;-0.0392293
0.0522;-0.0388554
0.0517;-0.0378063
0.0511;-0.0375418
0.0503;-0.037047
0.0483;-0.0343711
0.0455;-0.0323738
0.0439;-0.0345558
0.0421;-0.0339069
0.0381;-0.0289259
0.0358;-0.0319988
0.0334;-0.0314555
0.0282;-0.0250896
0.0254;-0.0294823
0.0225;-0.0288586
0.0162;-0.0211217
0.0129;-0.0266331
0.0096;-0.0261429
0.0025;-0.0174792
-0.0011;-0.0239386
-0.0086;-0.0150093
-0.0244;0.0039729
-0.0325;-0.0101959
-0.0365;-0.0177776
-0.0405;-0.0171573
-0.0485;-0.0079331
-0.0525;-0.0153069
-0.0605;-0.0060766
-0.0644;-0.0136594
-0.0721;-0.00486835
-0.0759;-0.0120604
-0.0797;-0.0114506
-0.0871;-0.003097
-0.0907;-0.0101116
-0.0942;-0.00973955
-0.1012;-0.00163895
-0.1046;-0.00827665
-0.111;-0.00126115
-0.1141;-0.0073391
-0.12;-0.0007941
-0.1228;-0.0065127
-0.1255;-0.00624495
-0.1254;-0.0117972
-0.1219;-0.0190613
-0.1075;-0.0429676
-0.0944;-0.0422854
-0.0643;-0.0807682
-0.0309;-0.0923628
0.0012;-0.0945784
0.0313;-0.095109
0.0456;-0.0656768
0.0593;-0.0665615
0.0857;-0.0959643
0.0983;-0.0703035
0.1103;-0.0709586
0.1219;-0.0719596
0.1541;-0.118067
0.1639;-0.0748186
0.173;-0.0748701
0.1896;-0.0924549
0.2042;-0.090747
0.2106;-0.0754123
0.2164;-0.0751905
0.2264;-0.0852036
0.2306;-0.074349
0.2342;-0.073806
0.2372;-0.0731747
0.2417;-0.0769705
0.2432;-0.0713171
0.2441;-0.0703742
0.2442;-0.0689112
0.2436;-0.0675431
0.2424;-0.0662843
0.2384;-0.0602035
0.2325;-0.0556347
0.2289;-0.0598091
0.2248;-0.0583066
0.2152;-0.0459742
0.2098;-0.053669
0.204;-0.0521011
0.1978;-0.05047
0.1842;-0.0337221
0.1769;-0.0453155
0.1692;-0.0434451
0.1613;-0.0419408
0.1354;-0.00212345
0.1262;-0.0342066
0.1076;-0.0126704
0.0981;-0.0294944
0.0885;-0.0278986
0.0687;-0.004563
0.0586;-0.0224773
0.0383;0.00094855
0.0177;0.0046297
0.0091;-0.0180849
0.0092;-0.0355045
0.0191;-0.056599
0.0167;-0.0316474
-0.0214;0.0454783
-0.0242;-0.0246896
-0.0284;-0.0212454
-0.0304;-0.0253302
-0.0344;-0.020713
-0.0365;-0.0241797
-0.0387;-0.0236304
-0.0409;-0.0232799
-0.0455;-0.0177672
-0.0503;-0.016622
-0.0527;-0.0210357
-0.0577;-0.0150568
-0.0627;-0.0142755
-0.0678;-0.0132766
-0.0703;-0.0180664
-0.0753;-0.0122788
-0.0803;-0.0114886
-0.0828;-0.0160722
-0.0852;-0.0158696
-0.0901;-0.0100896
-0.0925;-0.0146833
-0.0973;-0.00911465
-0.0996;-0.0137199
-0.1018;-0.013539
-0.1063;-0.0082108
-0.1084;-0.0126416
-0.1126;-0.0077553
-0.1146;-0.011798
-0.1183;-0.00778385
-0.1201;-0.0112538
-0.125;-0.0042563
-0.1265;-0.0107681
-0.1279;-0.0106941
-0.1305;-0.00783885
-0.1317;-0.010393
-0.1339;-0.00799605
-0.1348;-0.0103937
